Horses,Firsts,Seconds,Thirds,Starts,WinsPercent,PlacePercent,ROI,PrizeMoney
Iconoclasm,6,0,2,12,50.0,66.7,42.92,509365
Fifty Stars,6,2,0,8,75.0,100.0,113.13,302700
Furrion,6,1,1,9,66.7,88.9,71.11,269700
Kings Will Dream,5,1,2,11,45.5,72.7,-12.27,720250
Nature Strip,5,1,0,7,71.4,85.7,12.86,523200
Self Sense,5,2,0,12,41.7,58.3,124.17,493130
Mahamedeis,5,1,1,12,41.7,58.3,232.50,458900
Call Me Handsome,5,2,3,11,45.5,90.9,47.27,259350
Silentz,5,2,0,12,41.7,58.3,182.50,195750
Miss Norway,5,0,1,9,55.6,66.7,258.33,184370
Our Luca,5,3,0,9,55.6,88.9,155.56,150450
Haunted,5,1,4,11,45.5,90.9,49.09,136140
One More Try,5,1,0,7,71.4,85.7,174.29,133100
Lagerfeld,5,5,0,16,31.3,62.5,-34.06,92865
Lucky Fish,5,1,0,12,41.7,50.0,222.92,83560
Melba's Maestro,5,2,1,12,41.7,66.7,295.83,74750
Just Stellar,5,1,0,16,31.3,37.5,206.25,60796
Extra Brut,4,1,1,7,57.1,85.7,301.43,1557120
Written By,4,0,0,5,80.0,80.0,207.00,1399500
Land of Plenty,4,1,2,9,44.4,77.8,75.00,595650
Jaameh,4,1,1,8,50.0,75.0,591.25,565300
Cliff's Edge,4,1,0,11,36.4,45.5,54.55,505150
Amphitrite,4,2,0,9,44.4,66.7,146.67,469905
Widgee Turf,4,4,2,10,40.0,100.0,87.50,453050
Magic Consol,4,1,0,9,44.4,55.6,302.22,386000
Mr Money Bags,4,1,2,14,28.6,50.0,77.86,338600
Native Soldier,4,0,2,9,44.4,66.7,232.78,337500
Ashlor,4,2,2,11,36.4,72.7,146.36,302600
Think Bleue,4,1,0,6,66.7,83.3,125.00,278660
Moonlover,4,1,4,14,28.6,64.3,207.14,274300
Runson,4,1,2,11,36.4,63.6,116.36,240700
Al Galayel,4,2,1,8,50.0,87.5,90.00,238000
Exceltara,4,4,1,13,30.8,69.2,192.31,220840
Another Coldie,4,1,2,15,26.7,46.7,6.67,215300
Order of Command,4,2,0,7,57.1,85.7,115.00,213950
Holbien,4,1,2,11,36.4,63.6,72.27,183700
Lucky For All,4,1,1,9,44.4,66.7,23.89,178850
Inn Keeper,4,1,0,5,80.0,100.0,227.00,175500
Choisborder,4,1,2,9,44.4,77.8,83.89,165500
Penny to Sell,4,2,1,14,28.6,50.0,1307.14,153550
Superhard,4,2,1,12,33.3,58.3,43.33,151050
Our Libretto,4,0,1,6,66.7,83.3,120.83,146850
Choysa,4,1,0,9,44.4,55.6,357.78,146450
Fill the Flute,4,1,1,9,44.4,66.7,70.56,137070
Miss Toorak Flyer,4,0,1,8,50.0,62.5,247.50,124300
Sirius Suspect,4,2,2,10,40.0,80.0,36.00,124250
Excellent Rhythm,4,0,2,12,33.3,50.0,170.83,123349
Mr Quickie,4,1,0,6,66.7,83.3,130.00,118900
Elite Drake,4,2,1,16,25.0,43.8,66.56,115173
Holy Blade,4,1,2,10,40.0,70.0,20.50,112350
Hang Man,4,1,1,7,57.1,85.7,246.43,111825
Queen Annabel,4,2,1,14,28.6,50.0,121.43,108815
Midas Man,4,2,1,15,26.7,46.7,206.67,105200
Maxey Campo,4,6,0,17,23.5,58.8,-29.12,98924
Nariko,4,2,1,9,44.4,77.8,87.78,95190
Sam Slick,4,2,1,12,33.3,58.3,60.00,91680
Thunder Cloud,4,0,3,12,33.3,58.3,10.00,90500
Kothu Rotti,4,2,1,13,30.8,53.8,36.92,81994
Annunciate,4,5,1,17,23.5,58.8,-38.24,72984
The Centaurian,4,2,0,10,40.0,60.0,64.00,70350
Kalalo,4,1,4,16,25.0,56.3,0.00,68823
Circus Dancer,4,2,1,21,19.0,33.3,49.05,67918
Rondalago,4,0,2,12,33.3,50.0,570.00,66709
Prince Ziggy,4,1,1,13,30.8,46.2,45.38,66622
Free Willy,4,1,1,23,17.4,26.1,-20.22,63385
Empire Liberty,4,1,0,12,33.3,41.7,104.17,61950
Tubbs Gift,4,0,0,9,44.4,44.4,443.33,58750
Waterford Sound,4,2,3,14,28.6,64.3,167.14,58698
Amschel,4,2,1,13,30.8,53.8,40.77,57749
Excessabeel,4,1,0,13,30.8,38.5,26.15,57360
A Good Yarn,4,0,0,8,50.0,50.0,116.25,56950
Along Came Jones,4,0,2,13,30.8,46.2,195.38,53649
Trap for Fools,3,2,1,9,33.3,66.7,298.89,1476100
Grunt,3,0,0,7,42.9,42.9,250.00,1188500
Sunlight,3,0,0,4,75.0,75.0,197.50,825000
Thrillster,3,2,1,7,42.9,85.7,230.00,492200
Gallic Chieftain,3,1,2,13,23.1,46.2,19.23,454950
Runaway,3,1,2,12,25.0,50.0,132.50,402860
I Am a Star,3,0,1,6,50.0,66.7,167.50,354500
Ringerdingding,3,1,1,6,50.0,83.3,53.33,314750
Night's Watch,3,1,1,7,42.9,71.4,48.57,283250
Spanish Reef,3,0,0,6,50.0,50.0,54.17,281000
Masculino,3,3,0,10,30.0,60.0,70.00,259000
Chamois Road,3,2,1,10,30.0,60.0,99.00,243600
Grey Shadow,3,4,0,10,30.0,70.0,82.00,243300
Sixties Groove,3,1,1,8,37.5,62.5,-25.63,233000
Lycurgus,3,2,2,11,27.3,63.6,-19.09,225600
Leonardo da Hinchi,3,1,1,6,50.0,83.3,51.67,225250
Malibu Style,3,0,1,10,30.0,40.0,345.00,216100
Eduardo,3,2,0,5,60.0,100.0,186.00,209950
Brutal,3,0,0,3,100.0,100.0,215.00,201200
Summer Sham,3,0,0,7,42.9,42.9,100.00,192550
Theanswermyfriend,3,1,0,9,33.3,44.4,124.44,191800
Cougar Express,3,1,0,10,30.0,40.0,25.00,189950
Twitchy Frank,3,0,0,8,37.5,37.5,48.75,186500
Sheriff John Stone,3,1,1,12,25.0,41.7,237.50,175600
Naantali,3,2,0,9,33.3,55.6,-11.67,171950
Sunset Watch,3,1,0,6,50.0,66.7,30.83,168500
Star Fall,3,0,0,5,60.0,60.0,84.00,162350
Tiffany's Lass,3,3,0,11,27.3,54.5,72.73,162050
Usain Bowler,3,0,2,8,37.5,62.5,431.25,161125
Bit of a Lad,3,3,2,15,20.0,53.3,-37.33,158950
Declares War,3,0,2,5,60.0,100.0,94.00,158320
My Pendant,3,2,0,5,60.0,100.0,172.00,156830
Shoko,3,2,0,7,42.9,71.4,87.86,155450
Zarpoya,3,2,1,13,23.1,46.2,343.08,152000
Written Choice,3,1,1,8,37.5,62.5,57.50,142810
Haripour,3,0,0,7,42.9,42.9,244.29,137700
You've Been Had,3,2,0,6,50.0,83.3,4.17,134800
Barry the Baptist,3,3,1,13,23.1,53.8,1.54,126525
Royal Ace,3,2,2,15,20.0,46.7,-22.00,126500
Princeton Spirit,3,0,0,6,50.0,50.0,116.67,122250
Egyptian Bullet,3,0,1,10,30.0,40.0,339.00,121400
Hectopascal,3,3,0,14,21.4,42.9,49.29,121000
Anjana,3,0,0,8,37.5,37.5,56.88,119750
Blood And Sand,3,0,0,6,50.0,50.0,306.67,115654
Beaverbrook,3,1,2,13,23.1,46.2,31.92,110465
Truly High,3,3,3,14,21.4,64.3,30.71,109500
Embrace Me,3,0,0,7,42.9,42.9,307.14,106800
Barthelona,3,0,1,9,33.3,44.4,86.67,104600
Tamasa,3,1,0,4,75.0,100.0,77.50,104400
Heptagon,3,0,2,9,33.3,55.6,10.00,102150
Phoneme,3,1,0,4,75.0,100.0,292.50,101400
I'll'ava'alf,3,1,0,11,27.3,36.4,-16.36,99790
Under Oath,3,1,2,14,21.4,42.9,30.00,99545
Reilmartini,3,0,1,6,50.0,66.7,159.17,99050
Our Yangtze,3,2,2,11,27.3,63.6,-0.91,96060
Our Gladiator,3,1,0,12,25.0,33.3,275.00,95700
Jesta Dreama,3,2,2,10,30.0,70.0,57.00,95615
Matty,3,1,1,9,33.3,55.6,-1.11,95600
Bellaria,3,1,1,10,30.0,50.0,129.50,95500
Balcazar,3,0,2,14,21.4,35.7,9.29,93900
Divine Command,3,3,1,9,33.3,77.8,-19.44,91860
Kapaulenko,3,0,2,9,33.3,55.6,71.11,91650
Bryan,3,0,1,7,42.9,57.1,560.00,91100
Street Spun,3,1,1,11,27.3,45.5,105.45,90550
Flying Murty,3,1,0,4,75.0,100.0,86.25,90100
Angelic Spirit,3,1,1,10,30.0,50.0,22.00,89950
Rock Hard,3,0,0,7,42.9,42.9,176.43,88700
Haski,3,2,0,6,50.0,83.3,105.00,88000
Casa de Lago,3,1,0,8,37.5,50.0,716.25,86100
Critical Thinking,3,2,0,9,33.3,55.6,56.67,85700
Full of Theories,3,7,2,25,12.0,48.0,-45.20,85595
Evanesce,3,2,2,10,30.0,70.0,-0.50,85585
Beach God,3,1,0,17,17.6,23.5,195.88,83555
Uptown Lilly,3,0,1,10,30.0,40.0,83.50,82285
Reward With Return,3,2,1,20,15.0,30.0,-2.00,81700
Astrological,3,5,1,15,20.0,60.0,-22.80,81610
Kaching,3,1,4,10,30.0,80.0,-32.00,81200
Freehearted,3,0,3,11,27.3,54.5,57.27,81100
Moor Wanted,3,3,3,12,25.0,75.0,216.67,81075
Carlingford,3,0,1,14,21.4,28.6,27.86,81000
Stealthy Lucas,3,1,1,7,42.9,71.4,185.71,80500
Five Kingdom,3,1,2,6,50.0,100.0,146.67,78900
Getting Leggie,3,2,1,8,37.5,75.0,51.25,78654
Valac,3,2,0,6,50.0,83.3,271.67,78150
Redcore,3,2,1,12,25.0,50.0,-25.83,76850
Keep Courting,3,2,2,14,21.4,50.0,85.00,74410
Esposito Gold,3,1,2,16,18.8,37.5,87.50,73300
Sir Lopez,3,2,1,12,25.0,50.0,105.00,73180
Rossman,3,0,3,8,37.5,75.0,12.50,71600
Toorak Warrior,3,2,0,10,30.0,50.0,64.50,70830
Forbid Me Not,3,4,1,12,25.0,66.7,-16.67,70575
Famelist,3,0,1,13,23.1,30.8,419.23,70525
You Rokk,3,0,2,6,50.0,83.3,22.50,68100
Music of the Night,3,1,1,15,20.0,33.3,36.67,67869
Rox The Castle,3,1,0,5,60.0,80.0,216.00,67800
Tea for Choux,3,0,0,9,33.3,33.3,32.22,66500
Immaculate Secret,3,2,1,7,42.9,85.7,78.57,66400
Our Girl Silke,3,1,0,7,42.9,57.1,351.43,65750
Blazejowski,3,2,2,11,27.3,63.6,-28.18,65300
Ocean Walzer,3,2,0,8,37.5,62.5,5.63,64755
Macrobius,3,0,1,13,23.1,30.8,10.00,64575
Scholarly,3,0,0,4,75.0,75.0,403.75,64500
Tardis,3,2,1,10,30.0,60.0,-17.00,64000
Souffrant,3,0,0,9,33.3,33.3,205.56,63915
Friedensberg,3,1,0,7,42.9,57.1,41.43,63650
Makahu Boy,3,2,0,9,33.3,55.6,93.89,63625
Corrs,3,1,1,7,42.9,71.4,200.00,63150
Chilean Wonder,3,5,1,18,16.7,50.0,61.11,62529
Sacred Sham,3,0,1,6,50.0,66.7,30.83,62250
Prepare to Win,3,1,0,7,42.9,57.1,365.71,61050
Room to Rhyme,3,1,2,8,37.5,75.0,101.25,60675
Parwan Prince,3,2,0,6,50.0,83.3,131.67,60300
Robbie's Star,3,0,0,12,25.0,25.0,212.50,60175
Second Marriage,3,0,1,11,27.3,36.4,-19.09,60150
Blue Jangles,3,0,3,20,15.0,30.0,-24.50,60100
Scuzi,3,0,0,10,30.0,30.0,30.00,59950
Hardern,3,2,0,15,20.0,33.3,-24.00,59790
Rewarding Laughter,3,2,0,10,30.0,50.0,94.00,59725
The Dominator,3,0,0,12,25.0,25.0,17.50,59700
Non Paear,3,0,1,6,50.0,66.7,443.33,59460
Won Ball,3,1,1,6,50.0,83.3,65.00,59400
Royal Volley,3,2,3,16,18.8,50.0,-23.13,58620
Midnight Cowboy,3,4,3,16,18.8,62.5,-21.88,58550
Zoophoria,3,5,0,10,30.0,80.0,-19.00,58490
Milord,3,0,4,10,30.0,70.0,53.00,58410
Gimme Strength,3,0,1,5,60.0,80.0,308.00,58225
Enigman,3,0,1,8,37.5,50.0,11.25,57950
Ruchla,3,1,0,7,42.9,57.1,105.71,57690
